Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-06-19),Price Override,Watchlist,Date Added,Notes
Singles,Pokemon,Ascended Heroes,Team Rocket's Transceiver,263/217,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,1.14,0,false,2026-05-01,
Singles,Pokemon,Ascended Heroes,Togekiss,235/217,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,6.97,0,false,2026-05-24,; 
Singles,Pokemon,Base Set (Unlimited),Zapdos,16,Holo Rare,Holofoil,Ungraded,Moderately Played,0.0000,1,40.38,0,false,2026-05-24,
Singles,Pokemon,Battle Academy,Charizard GX (#60 Charizard Stamped),009/068,Promo,Holofoil,Ungraded,Near Mint,0,1,12.81,0,false,2026-05-04,
Singles,Pokemon,Battle Partners,Salamence ex (JP),129/100,Special Art Rare,Holofoil,Ungraded,Near Mint,0,1,30,0,false,2026-05-01,
Singles,Pokemon,Battle Partners,Swinub (JP),106/100,Art Rare,Holofoil,Ungraded,Near Mint,0,1,3.46,0,false,2026-05-01,
Singles,Pokemon,Battle Styles,Tyranitar V (Full Art),154/163,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,10.44,0,false,2026-05-01,
Singles,Pokemon,Black Bolt,Braviary (Master Ball Pattern),078/086,Uncommon,Holofoil,Ungraded,Near Mint,0.0000,1,9.62,0,false,2026-05-24,
Singles,Pokemon,Black Bolt,Foongus,095/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,20.51,0,false,2026-06-17,
Singles,Pokemon,Black Bolt,Klink,139/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,6.52,0,false,2026-06-17,
Singles,Pokemon,Black Bolt,Kyurem ex,165/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,82.26,0,false,2026-05-01,
Singles,Pokemon,Black Bolt,Pansage,089/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,32.07,0,false,2026-05-24,
Singles,Pokemon,Black Bolt,Zekrom ex,172/086,Black White Rare,Holofoil,Ungraded,Near Mint,0.0000,2,546.52,0,false,2026-05-17,; 
Singles,Pokemon,BREAKpoint,Gyarados EX,26,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,20.56,0,false,2026-05-04,
Singles,Pokemon,Brilliant Stars Trainer Gallery,Eevee,TG11/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,23.33,0,false,2026-05-17,
Singles,Pokemon,Celebrations: Classic Collection,Venusaur,15/102,Classic Collection,Holofoil,Ungraded,Near Mint,0,1,12.5,0,false,2026-05-17,
Singles,Pokemon,Chaos Rising,Ampharos,090/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,14.29,0,false,2026-06-17,
Singles,Pokemon,Chaos Rising,Claydol,092/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,3,3.64,0,false,2026-06-17,
Singles,Pokemon,Chaos Rising,Crobat,093/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,5.01,0,false,2026-06-17,
Singles,Pokemon,Chaos Rising,Froakie,088/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,3,14.37,0,false,2026-06-17,; ; 
Singles,Pokemon,Chaos Rising,Frogadier,089/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,3,12.81,0,false,2026-06-17,; ; 
Singles,Pokemon,Chaos Rising,Mega Floette ex,117/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,48.92,0,false,2026-06-17,
Singles,Pokemon,Chaos Rising,Mega Floette ex,101/086,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,5.95,0,false,2026-06-17,
Singles,Pokemon,Chaos Rising,Mega Greninja ex,116/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,338.89,0,false,2026-06-17,
Singles,Pokemon,Chaos Rising,Mega Greninja ex,100/086,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,2,21.13,0,false,2026-06-17,; 
Singles,Pokemon,Chaos Rising,Metang,094/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,4.11,0,false,2026-06-17,; 
Singles,Pokemon,Chaos Rising,Sliggoo,095/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,4.34,0,false,2026-06-17,; 
Singles,Pokemon,Chaos Rising,Tauros,096/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,5.79,0,false,2026-06-17,; 
Singles,Pokemon,Chaos Rising,Watchog,097/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.48,0,false,2026-06-17,
Singles,Pokemon,Chaos Rising,Xerneas,091/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,13.56,0,false,2026-06-17,
Singles,Pokemon,Crown Zenith: Galarian Gallery,Absol,GG16/GG70,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,10.04,0,false,2026-05-01,
Singles,Pokemon,Crown Zenith: Galarian Gallery,Entei V,GG36/GG70,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,59.38,0,false,2026-05-01,
Singles,Pokemon,Crown Zenith: Galarian Gallery,Pikachu,GG30/GG70,Holo Rare,Holofoil,Ungraded,Near Mint,0,1,56.76,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Blaziken,192/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,12.82,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Crustle,186/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,4.26,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Cynthia's Garchomp ex,232/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,289.98,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Ethan's Typhlosion,190/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,35.23,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Kangaskhan,204/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,13.27,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Misty's Lapras,194/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,44.29,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Misty's Psyduck,193/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,82.91,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Team Rocket's Crobat ex,234/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,81.37,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Team Rocket's Houndoom,191/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,18.21,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Team Rocket's Meowth,203/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,33.52,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Team Rocket's Murkrow,200/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,10.71,0,false,2026-06-02,
Singles,Pokemon,Destined Rivals,Team Rocket's Orbeetle,198/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,4.51,0,false,2026-06-17,
Singles,Pokemon,Destined Rivals,Team Rocket's Raticate,202/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,7.04,0,false,2026-05-24,
Singles,Pokemon,Destined Rivals,Team Rocket's Weezing,199/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,2,10,0,false,2026-06-02,
Singles,Pokemon,Dragon Majesty,Charizard,3,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,15.27,0,false,2026-05-24,
Singles,Pokemon,Evolutions,Charizard,11/108,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,109.61,0,false,2026-05-24,
Singles,Pokemon,Evolutions,Charizard EX,12/108,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,19.01,0,false,2026-05-24,
Singles,Pokemon,Fossil,Zapdos (15),15,Holo Rare,Unlimited Holofoil,Ungraded,Moderately Played,0.0000,1,30.17,0,false,2026-05-24,
Singles,Pokemon,Fusion Strike,Elesa's Sparkle (Secret),275/264,Secret Rare,Holofoil,Ungraded,Near Mint,0,1,5.8,0,false,2026-05-17,
Singles,Pokemon,Generations,Vaporeon EX,24,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,20.16,0,false,2026-05-04,
Singles,Pokemon,HGSS Promos,Latios (Cosmos Holo),HGSS11,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,29.89,0,false,2026-05-24,
Singles,Pokemon,Hidden Fates,Charizard GX,9/68,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,13.54,0,false,2026-05-24,
Singles,Pokemon,Journey Together,Lillie's Clefairy ex,184/159,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,127.5,0,false,2026-05-17,
Singles,Pokemon,Jungle,Jolteon,4,Holo Rare,Unlimited Holofoil,Ungraded,Near Mint,0.0000,1,91.08,0,false,2026-05-24,
Singles,Pokemon,Jungle,Vaporeon,12,Holo Rare,Unlimited Holofoil,Ungraded,Moderately Played,0.0000,1,33.5,0,false,2026-05-24,
Singles,Pokemon,Lost Origin,Gallade V (Full Art),181/196,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.59,0,false,2026-05-01,
Singles,Pokemon,Lost Origin,Kyurem VMAX (Secret),197/196,Secret Rare,Holofoil,Ungraded,Near Mint,0,1,8.51,0,false,2026-05-01,
Singles,Pokemon,Mega Evolution,Clawitzer,141/132,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.14,0,false,2026-06-17,
Singles,Pokemon,Mega Evolution,Lillie's Determination,184/132,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,73.71,0,false,2026-05-17,
Singles,Pokemon,Mega Evolution,Mega Absol ex,161/132,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,5.19,0,false,2026-05-01,
Singles,Pokemon,Mega Evolution,Mega Kangaskhan ex,182/132,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,71.14,0,false,2026-05-24,
Singles,Pokemon,Mega Evolution,Mega Venusaur ex,155/132,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,13.43,0,false,2026-06-17,
Singles,Pokemon,Mega Evolution,Rare Candy,175/132,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,3.78,0,false,2026-05-01,
Singles,Pokemon,Mega Evolution,Wally's Compassion,186/132,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,24.24,0,false,2026-05-01,
Singles,Pokemon,Mega Evolution Promos,Bulbasaur,037,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,35.96,0,false,2026-05-17,
Singles,Pokemon,Mega Evolution Promos,Bulbasaur (Mega Evolution Stamped),133/132,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,23.89,0,false,2026-05-17,; 
Singles,Pokemon,Mega Evolution Promos,Charcadet - 022,022,Promo,Holofoil,Ungraded,Near Mint,0.0000,3,2.72,0,false,2026-05-24,; ; 
Singles,Pokemon,Mega Evolution Promos,Charmander,038,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,43.4,0,false,2026-05-17,
Singles,Pokemon,Mega Evolution Promos,Chimchar,041,Promo,Holofoil,Ungraded,Near Mint,0.0000,2,7.27,0,false,2026-05-24,; 
Singles,Pokemon,Mega Evolution Promos,Fennekin - 080,080,Promo,Holofoil,Ungraded,Near Mint,0,3,4.75,0,false,2026-06-17,
Singles,Pokemon,Mega Evolution Promos,Fennekin - 080 (Pokemon Center Exclusive),080,Promo,Holofoil,Ungraded,Near Mint,0,2,60.15,0,false,2026-06-17,
Singles,Pokemon,Mega Evolution Promos,Mega Charizard X ex,023,Promo,Holofoil,Ungraded,Near Mint,0.0000,2,42.47,0,false,2026-05-17,; 
Singles,Pokemon,Mega Evolution Promos,Mega Charizard X ex - 029,029,Promo,Holofoil,Ungraded,Near Mint,0.0000,2,5.63,0,false,2026-06-17,
Singles,Pokemon,Mega Evolution Promos,Mega Charizard Y ex - 030,030,Promo,Holofoil,Ungraded,Near Mint,0.0000,3,5.54,0,false,2026-06-17,; 
Singles,Pokemon,Mega Evolution Promos,Mega Gardevoir ex - 032,032,Promo,Holofoil,Ungraded,Near Mint,0.0000,2,8.9,0,false,2026-05-24,; 
Singles,Pokemon,Mega Evolution Promos,Riolu,010,Promo,Holofoil,Ungraded,Near Mint,0.0000,2,9.99,0,false,2026-05-17,
Singles,Pokemon,Mega Evolution Promos,Turtwig,040,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,7.73,0,false,2026-06-17,
Singles,Pokemon,Mega Evolution Promos,Tyrunt - 070,070,Promo,Holofoil,Ungraded,Near Mint,0.0000,5,3.21,0,false,2026-06-17,
Singles,Pokemon,Miscellaneous Cards & Products,Flareon ex - 014/131 (Prismatic Evolutions Stamp),014/131,Promo,Holofoil,Ungraded,Near Mint,0,1,6.91,0,false,2026-05-01,
Singles,Pokemon,Miscellaneous Cards & Products,Team Rocket's Moltres ex - 208/182 (Destined Rivals Stamp),208/182,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,9.91,0,false,2026-05-24,
Singles,Pokemon,Obsidian Flames,Houndour,204/197,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,12.01,0,false,2026-05-01,
Singles,Pokemon,Paldea Evolved,Basic Grass Energy,278/193,Hyper Rare,Holofoil,Ungraded,Near Mint,0,1,10.24,0,false,2026-05-01,
Singles,Pokemon,Paldea Evolved,Marill,204/193,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,59.13,0,false,2026-05-01,
Singles,Pokemon,Paldea Evolved,Tyranitar,222/193,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,78.88,0,false,2026-05-01,
Singles,Pokemon,Paradox Rift,Porygon-Z,214/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,13.95,0,false,2026-05-01,
Singles,Pokemon,Paradox Rift,Roaring Moon ex,262/182,Hyper Rare,Holofoil,Ungraded,Near Mint,0.0000,1,7.32,0,false,2026-05-01,
Singles,Pokemon,Perfect Order,Aurorus,092/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,3.83,0,false,2026-06-17,; 
Singles,Pokemon,Perfect Order,Doublade,098/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.63,0,false,2026-06-17,
Singles,Pokemon,Perfect Order,Drapion,097/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,1.38,0,false,2026-06-17,
Singles,Pokemon,Perfect Order,Espurr,095/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,3,5.47,0,false,2026-06-17,; ; 
Singles,Pokemon,Perfect Order,Mega Zygarde ex,104/088,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,8.3,0,false,2026-05-20,
Singles,Pokemon,Perfect Order,Probopass,096/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,3,0.95,0,false,2026-06-17,
Singles,Pokemon,Perfect Order,Raticate,099/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,3.12,0,false,2026-06-17,
Singles,Pokemon,Perfect Order,Rowlet,090/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,6.41,0,false,2026-06-17,
Singles,Pokemon,Perfect Order,Spewpa,089/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.21,0,false,2026-06-17,
Singles,Pokemon,Perfect Order,Talonflame,091/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,2.64,0,false,2026-06-17,
Singles,Pokemon,Phantasmal Flames,Ambipom,107/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.25,0,false,2026-06-17,
Singles,Pokemon,Phantasmal Flames,Dawn,118/094,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,6.51,0,false,2026-05-24,
Singles,Pokemon,Phantasmal Flames,Flygon,101/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,5.44,0,false,2026-06-17,
Singles,Pokemon,Phantasmal Flames,Mega Charizard X ex,013/094,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,2,4.38,0,false,2026-06-17,; 
Singles,Pokemon,Phantasmal Flames,Mega Sharpedo ex,113/094,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,2.36,0,false,2026-05-01,
Singles,Pokemon,Phantasmal Flames,Mega Sharpedo ex,127/094,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,23.73,0,false,2026-05-24,
Singles,Pokemon,Phantasmal Flames,Nymble,096/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,1.51,0,false,2026-06-17,
Singles,Pokemon,Phantasmal Flames,Piplup,098/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,17.04,0,false,2026-05-17,
Singles,Pokemon,Phantasmal Flames,Togedemaru,104/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,2.39,0,false,2026-06-17,
Singles,Pokemon,Phantasmal Flames,Toxtricity,103/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,1.97,0,false,2026-06-17,
Singles,Pokemon,Pokemon Go,Dragonite VSTAR (Secret),081/078,Secret Rare,Holofoil,Ungraded,Near Mint,0,1,48.84,0,false,2026-05-04,
Singles,Pokemon,Prismatic Evolutions,Leafeon ex,144/131,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,327.9,0,false,2026-05-01,
Singles,Pokemon,Prismatic Evolutions,Sylveon ex,156/131,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,531.5,0,false,2026-05-01,
Singles,Pokemon,Scarlet & Violet Promo,Charizard ex,161,Promo,Holofoil,Ungraded,Near Mint,0,1,8.04,0,false,2026-05-01,
Singles,Pokemon,Scarlet & Violet Promo,Charmander,044,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,72.02,0,false,2026-05-01,
Singles,Pokemon,Scarlet & Violet Promo,Iron Thorns,098,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,2.8,0,false,2026-05-01,
Singles,Pokemon,Scarlet & Violet Promo,Magneton,159,Promo,Holofoil,Ungraded,Near Mint,0.0000,2,9.05,0,false,2026-05-01,
Singles,Pokemon,Scarlet & Violet Promo,Mew ex,053,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,83.36,0,false,2026-05-24,
Singles,Pokemon,Scarlet & Violet Promo,Mewtwo,052,Promo,Holofoil,Ungraded,Near Mint,0,1,54.17,0,false,2026-05-17,
Singles,Pokemon,Scarlet & Violet Promo,N's Zorua,189,Promo,Holofoil,Ungraded,Near Mint,0,1,11.72,0,false,2026-05-01,
Singles,Pokemon,Scarlet & Violet Promo,Snorlax,051,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,23.99,0,false,2026-05-01,
Singles,Pokemon,Scarlet & Violet Promo,Steven's Beldum,207,Promo,Holofoil,Ungraded,Near Mint,0,1,34.18,0,false,2026-05-01,
Singles,Pokemon,Scarlet & Violet Promo,Thundurus - 209,209,Promo,Holofoil,Ungraded,Near Mint,0,1,2.02,0,false,2026-06-17,
Singles,Pokemon,Scarlet & Violet Promo,Tornadus - 210,210,Promo,Holofoil,Ungraded,Near Mint,0.0000,2,1.39,0,false,2026-06-17,; 
Singles,Pokemon,Scarlet & Violet Promo,Victini,208,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,15.21,0,false,2026-05-24,
Singles,Pokemon,Silver Tempest,Ho-oh,187/195,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,9.62,0,false,2026-05-01,
Singles,Pokemon,Silver Tempest,Lugia V (Alternate Full Art),186/195,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,529.36,0,false,2026-05-01,
Singles,Pokemon,Silver Tempest,Reshiram V (Full Art),172/195,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,6.93,0,false,2026-05-01,
Singles,Pokemon,Silver Tempest,Skuntank V (Alternate Full Art),181/195,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,11.74,0,false,2026-05-01,
Singles,Pokemon,Stellar Crown,Galvantula ex,168/142,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,23.43,0,false,2026-06-02,
Singles,Pokemon,Surging Sparks,Braviary,214/191,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,5.82,0,false,2026-05-17,
Singles,Pokemon,Surging Sparks,Castform Sunny Form,195/191,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,9.33,0,false,2026-06-17,
Singles,Pokemon,Surging Sparks,Ceruledge,197/191,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,24.9,0,false,2026-05-01,
Singles,Pokemon,Surging Sparks,Hydreigon ex,240/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,43.4,0,false,2026-06-02,
Singles,Pokemon,Surging Sparks,Pikachu ex,238/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,371.73,0,false,2026-06-02,
Singles,Pokemon,Surging Sparks,Pikachu ex,219/191,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,34.52,0,false,2026-06-17,
Singles,Pokemon,SV: 151,Alakazam ex,201/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,83.69,0,false,2026-05-01,
Singles,Pokemon,SV: 151,Basic Psychic Energy,207/165,Hyper Rare,Holofoil,Ungraded,Near Mint,0,1,5.61,0,false,2026-05-01,
Singles,Pokemon,SV: 151,Blastoise ex,184/165,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,3,27.96,0,false,2026-05-01,
Singles,Pokemon,SV: 151,Bulbasaur,166/165,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,94.03,0,false,2026-05-24,
Singles,Pokemon,SV: 151,Charizard ex,199/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,3,472.88,0,false,2026-05-01,
Singles,Pokemon,SV: 151,Charizard ex,183/165,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,48.61,0,false,2026-06-02,
Singles,Pokemon,SV: 151,Charmeleon,169/165,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,83.65,0,false,2026-05-17,
Singles,Pokemon,SV: 151,Ivysaur,167/165,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,62.1,0,false,2026-06-02,
Singles,Pokemon,SV: 151,Pikachu,173/165,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,83.44,0,false,2026-06-02,
Singles,Pokemon,SV: 151,Squirtle,170/165,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,116.69,0,false,2026-05-01,; 
Singles,Pokemon,SV: 151,Tangela,178/165,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,22.11,0,false,2026-05-17,
Singles,Pokemon,SV: 151,Wartortle,171/165,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,76.83,0,false,2026-06-02,
Singles,Pokemon,Sword & Shield Promo,Galarian Zapdos,SWSH283,Promo,Holofoil,Ungraded,Near Mint,0,1,3.77,0,false,2026-05-01,
Singles,Pokemon,Sword & Shield Promo,Jolteon V,SWSH183,Promo,Holofoil,Ungraded,Near Mint,0,1,78.18,0,false,2026-05-01,
Singles,Pokemon,Team Up,Charizard,14,Rare,Normal,Ungraded,Near Mint,0.0000,1,23.19,0,false,2026-05-24,
Singles,Pokemon,Temporal Forces,Lickitung,180/162,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,32.77,0,false,2026-05-01,
Singles,Pokemon,Temporal Forces,Meltan,179/162,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,6.3,0,false,2026-05-01,
Singles,Pokemon,Temporal Forces,Morty's Conviction,201/162,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,4.21,0,false,2026-05-01,
Singles,Pokemon,Twilight Masquerade,Carmine,204/167,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,5.35,0,false,2026-05-01,
Singles,Pokemon,Twilight Masquerade,Infernape,173/167,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,16.19,0,false,2026-05-01,
Singles,Pokemon,Twilight Masquerade,Iron Thorns ex,196/167,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,2.34,0,false,2026-05-01,
Singles,Pokemon,Twilight Masquerade,Scream Tail ex,197/167,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,2.79,0,false,2026-05-01,
